id_banque,nom_banque,type,depots_a_court_terme,depots_a_moyen_terme,depots_a_long_terme
186,BANQUE NATIONALE D ALGERIE - BNA,personnel,,,
186,BANQUE NATIONALE D ALGERIE - BNA,professionnel,"DE 1 à 1,15%",,
186,BANQUE NATIONALE D ALGERIE - BNA,entreprise,"30 à 89 jours DE 1 à 1,15%",,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,personnel,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,professionnel,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,entreprise,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,personnel,"03 à 06 mois 2% / 07 à 12 mois 2,25% / 13 à 24 mois 2,50","25 à 36 mois 2,75% / 37 à 42 mois 3,25% / 43 à 48 mois 3,50%","49 à 54 mois 3,75% / 55 à 60 mois 4,25%"
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,professionnel,"03 à 06 mois 2% / 07 à 12 mois 2,25% / 13 à 24 mois 2,50","25 à 36 mois 2,75% / 37 à 42 mois 3,25% / 43 à 48 mois 3,50%","49 à 54 mois 3,75% / 55 à 60 mois 4,25%"
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,entreprise,"03 à 06 mois 2% / 07 à 12 mois 2,25% / 13 à 24 mois 2,50","25 à 36 mois 2,75% / 37 à 42 mois 3,25% / 43 à 48 mois 3,50%","49 à 54 mois 3,75% / 55 à 60 mois 4,25%"
469,CREDIT POPULAIRE D ALGERIE - CPA,personnel,03_06 mois: 1.25%,18-24 mois: 2.00%,+60mois 4.00%
469,CREDIT POPULAIRE D ALGERIE - CPA,professionnel,03-06 mois: 1.25%,18-24 mois: 2.0%,+60 mois: 4.0%
469,CREDIT POPULAIRE D ALGERIE - CPA,entreprise,3-6 mois: 1.25%,18-24 mois: 2.00%,+60 mois: 4.0%
214,ARAB BANKING CORPORATION ALGERIE - ABC,personnel,3-6 mois: TRC-0.50%,12-24 mois: TRC,+48 mois: TRC+1%
214,ARAB BANKING CORPORATION ALGERIE - ABC,professionnel,3-6 mois: TRC-0.50%,12-24 mois: TRC,+48 mois: TRC+1%
214,ARAB BANKING CORPORATION ALGERIE - ABC,entreprise,3-6 mois: TRC-0.50%,12-24 mois: TRC,+48 mois: TRC+1%
353,NATIXIS BANQUE,personnel,,,
353,NATIXIS BANQUE,professionnel,,,
353,NATIXIS BANQUE,entreprise,,,
876,SOCIETE GENERALE ALGERIE,personnel,,,
876,SOCIETE GENERALE ALGERIE,professionnel,,,
876,SOCIETE GENERALE ALGERIE,entreprise,,,
175,ARAB BANK PLC ALGERIA,personnel,,,
175,ARAB BANK PLC ALGERIA,professionnel,,,
175,ARAB BANK PLC ALGERIA,entreprise,,,
366,B.N.P.-PARIBAS EL DJAZAIR,personnel,,,
366,B.N.P.-PARIBAS EL DJAZAIR,professionnel,,,
366,B.N.P.-PARIBAS EL DJAZAIR,entreprise,,,
2037,TRUST BANK ALGERIA,personnel,,,
2037,TRUST BANK ALGERIA,professionnel,,,
2037,TRUST BANK ALGERIA,entreprise,,,
339345,GULF BANK ALGERIA,personnel,,,
339345,GULF BANK ALGERIA,professionnel,,,
339345,GULF BANK ALGERIA,entreprise,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,personnel,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,professionnel,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,entreprise,,,
2437,FRANSABANK EL-DJAZAIR,personnel,,,
2437,FRANSABANK EL-DJAZAIR,professionnel,,,
2437,FRANSABANK EL-DJAZAIR,entreprise,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,personnel,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,professionnel,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,entreprise,,,
205,AL SALAM BANK - ALGERIA - SPA,personnel,"03 mois client:25% banque : 75%, 06 mois client:45% banque : 55%, 12 mois client:59% banque : 41%","18 mois client:62% banque : 38%, 24 mois client:65% banque : 35%, 36 mois client:72% banque : 28%","48 mois client:80% banque : 20%, >=60 mois client:91% banque : 9%"
205,AL SALAM BANK - ALGERIA - SPA,professionnel,"03 mois client:25% banque : 75%, 06 mois client:45% banque : 55%, 12 mois client:59% banque : 41%","18 mois client:62% banque : 38%, 24 mois client:65% banque : 35%, 36 mois client:72% banque : 28%","48 mois client:80% banque : 20%, >=60 mois client:91% banque : 9%"
205,AL SALAM BANK - ALGERIA - SPA,entreprise,"03 mois client:25% banque : 75%, 06 mois client:45% banque : 55%, 12 mois client:59% banque : 41%","18 mois client:62% banque : 38%, 24 mois client:65% banque : 35%, 36 mois client:72% banque : 28%","48 mois client:80% banque : 20%, >=60 mois client:91% banque : 9%"
