id_banque,nom_banque,type,versement_en_agence,versement_hors_agence,virement_en_agence,virement_hors_agence,prelevement_en_agence,prelevement_hors_agence,retraits_en_agence,retraits_hors_agence,payment_cheque_en_agence,payment_cheque_hors_agence,vente_devise,achat_devise
542,BANQUE EXTERIEURE D'ALGERIE - BEA,personnel,,,,,,,,,,,,
542,BANQUE EXTERIEURE D'ALGERIE - BEA,professionnel,,,,,,,,,,,,
542,BANQUE EXTERIEURE D'ALGERIE - BEA,entreprise,,,,,,,,,,,,
186,BANQUE NATIONALE D'ALGERIE - BNA,personnel,Gratuit,"0,5‰",20 DA,30 DA,,,Gratuit,"0,5‰",Gratuit,"≤ 50000 DA Gratuit, > 50000 DA 50 DA+ frais de transmission de l'image du cheque",2‰ Min 300 DA,Gratuit
186,BANQUE NATIONALE D'ALGERIE - BNA,professionnel,Gratuit,"0,5‰",Gratuit,20 DA,,,Gratuit,"0,5‰",Gratuit,"≤ 50000 DA Gratuit, > 50000 DA 50 DA+ frais de transmission de l'image du cheque",2‰ Min 300 DA,Gratuit
186,BANQUE NATIONALE D'ALGERIE - BNA,entreprise,Gratuit,"0,5‰",Gratuit,20 DA,,,Gratuit,"0,5‰",Gratuit,Gratuit,2‰ Min 300 DA,Gratuit
278,BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,personnel,Gratuit,Gratuit,"emis 300 DA, recu gratuit","emis 300 DA, recu gratuit",Gratuit,150 DA,,"0.5‰, minimum 100 DA, plafonné a 500000 DA","< 50000 10DA, < 5000000 200DA, > 5000000 0.25‰",,,
278,BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,professionnel,,,,,,,,,,,,
278,BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,entreprise,Gratuit,Gratuit,"emis 300 DA, recu gratuit","emis 300 DA, recu gratuit",,,,"0.5‰, minimum 100 DA, plafonné a 500000 DA",Gratuit,"< 50000 10DA, < 5000000 200DA, > 5000000 0.25‰",,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,personnel,Gratuit,,Gratuit,150 DA,,,Gratuit,400 DA,Gratuit,Gratuit,"0,25% min 300DA",
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,professionnel,Gratuit,,Gratuit,"50 DA, autre banque 200 DA",,,Gratuit,400 DA,Gratuit,Gratuit,"0,25% min 300DA",
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,entreprise,Gratuit,,Gratuit,"50 DA, autre banque 200 DA",,,Gratuit,400 DA,Gratuit,Gratuit,"0,25% min 300DA",
469,CREDIT POPULAIRE D'ALGERIE - CPA,personnel,,,,,,,,,,,,
469,CREDIT POPULAIRE D'ALGERIE - CPA,professionnel,,,,,,,,,,,,
469,CREDIT POPULAIRE D'ALGERIE - CPA,entreprise,,,,,,,,,,,,
2370,CAISSE D'EPARGNE ET DE PREVOYANCE - CNEP BANQUE,personnel,,,,,,,,,,,,
