category,prestation,type,value
gestion_de_compte,ouverture_compte_courant,personnel,
,,professionnel,
,,entreprise,
,tenue_compte_courant,personnel,
,,professionnel,
,,entreprise,
,ouverture_compte_cheque,personnel,
,,professionnel,
,,entreprise,
,tenue_compte_cheque,personnel,
,,professionnel,
,,entreprise,
,ouverture_compte_epargne,personnel,
,,professionnel,
,,entreprise,
,tenue_compte_epargne,personnel,
,,professionnel,
,,entreprise,
,ouverture_compte_devise,personnel,
,,professionnel,
,,entreprise,
,tenue_compte_devise,personnel,
,,professionnel,
,,entreprise,
,fermeture_de_compte,personnel,
,,professionnel,
,,entreprise,
gestion_a_distance,e_banking_abonnement,personnel,
,,professionnel,
,,entreprise,
,e_banking_consultation_solde,personnel,
,,professionnel,
,,entreprise,
,e_banking_virement,personnel,
,,professionnel,
,,entreprise,
,e_banking_paiment,personnel,
,,professionnel,
,,entreprise,
,sms_banking_abonnement,personnel,
,,professionnel,
,,entreprise,
,sms_banking_virement_en_agence,personnel,
,,professionnel,
,,entreprise,
,sms_banking_virement_hors_agence,personnel,
,,professionnel,
,,entreprise,
,service_contact,personnel,
,,professionnel,
,,entreprise,
option_de_payment,versement_en_agence,personnel,
,,professionnel,
,,entreprise,
,versement_hors_agence,personnel,
,,professionnel,
,,entreprise,
,virement_en_agence,personnel,
,,professionnel,
,,entreprise,
,virement_hors_agence,personnel,
,,professionnel,
,,entreprise,
,prelevement_en_agence,personnel,
,,professionnel,
,,entreprise,
,prelevement_hors_agence,personnel,
,,professionnel,
,,entreprise,
,retraits_en_agence,personnel,
,,professionnel,
,,entreprise,
,retraits_hors_agence,personnel,
,,professionnel,
,,entreprise,
,payment_cheque_en_agence,personnel,
,,professionnel,
,,entreprise,
,payment_cheque_hors_agence,personnel,
,,professionnel,
,,entreprise,
,vente_devise,personnel,
,,professionnel,
,,entreprise,
,achat_devise,personnel,
,,professionnel,
,,entreprise,
moyens_de_payment,creation_bank_card,personnel,
,,professionnel,
,,entreprise,
,renouvelement_bank_card,personnel,
,,professionnel,
,,entreprise,
,remplacement_bank_card,personnel,
,,professionnel,
,,entreprise,
,edition_code_confidentiel_bank_card,personnel,
,,professionnel,
,,entreprise,
,retrait_intra_bancaire,personnel,
,,professionnel,
,,entreprise,
,retrait_inter_bancaire,personnel,
,,professionnel,
,,entreprise,
,creation_visa,personnel,
,,professionnel,
,,entreprise,
,renouvelement_visa,personnel,
,,professionnel,
,,entreprise,
,remplacement_visa,personnel,
,,professionnel,
,,entreprise,
,edition_code_confidentiel_visa,personnel,
,,professionnel,
,,entreprise,
prets_et_credits,decouvert_duree,personnel,
,,professionnel,
,,entreprise,
,decouvert_taux,personnel,
,,professionnel,
,,entreprise,
,credit_court_terme_taux,personnel,
,,professionnel,
,,entreprise,
,credit_moyen_terme_taux,personnel,
,,professionnel,
,,entreprise,
,credit_long_terme_taux,personnel,
,,professionnel,
,,entreprise,
,options_possibles,personnel,
,,professionnel,
,,entreprise,
placement,depots_a_court_terme,personnel,
,,professionnel,
,,entreprise,
,depots_a_moyen_terme,personnel,
,,professionnel,
,,entreprise,
,depots_a_long_terme,personnel,
,,professionnel,
,,entreprise,
epargne,epargne_duree_taux_01,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_02,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_03,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_04,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_05,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_06,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_07,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_08,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_09,personnel,
,,professionnel,
,,entreprise,
,epargne_duree_taux_10,personnel,
,,professionnel,
,,entreprise,
coffre_fort,petit,personnel,
,,professionnel,
,,entreprise,
,moyen,personnel,
,,professionnel,
,,entreprise,
,grand,personnel,
,,professionnel,
,,entreprise,
,cautionnement,personnel,
,,professionnel,
,,entreprise,
financement_externe,encaissement_cheque_etranger,personnel,
,,professionnel,
,,entreprise,
,virement_recu,personnel,
,,professionnel,
,,entreprise,
,virement_emis,personnel,
,,professionnel,
,,entreprise,
,exportation_domiciliation,personnel,
,,professionnel,
,,entreprise,
,importation_domiciliation,personnel,
,,professionnel,
,,entreprise,
,transfert_libre_prelevement_compte_dinars,personnel,
,,professionnel,
,,entreprise,
,transfert_libre_prelevement_compte_devise,personnel,
,,professionnel,
,,entreprise,
